"index","country_code","actor1","avg_goldstein","actor2","ratio","iso"
"1","ABW",3,-0.666666667,14,0.214285714285714,533
"2","AFG",1193,0.010645432,1147,1.04010462074978,4
"3","AFR",211,1.020379147,214,0.985981308411215,NA
"4","AGO",4,-1.5,0,0,24
"5","AIA",1,0,0,0,660
"6","ALB",87,1.065517241,57,1.52631578947368,8
"7","ARE",57,2.90877193,36,1.58333333333333,784
"8","ARG",19,-1.463157895,18,1.05555555555556,32
"9","ARM",1843,1.794574064,1694,1.08795749704841,51
"10","ASA",18,2.911111111,5,3.6,NA
"11","ATG",9,-1.688888889,2,4.5,28
"12","AUS",166,-0.935542169,117,1.41880341880342,36
"13","AUT",71,1.276056338,49,1.44897959183673,40
"14","AZE",1550,2.218580645,1355,1.14391143911439,31
"15","BDI",16,6.8625,13,1.23076923076923,108
"16","BEL",245,2.387346939,225,1.08888888888889,56
"17","BEN",3,-2.866666667,1,3,204
"18","BFA",6,0.25,5,1.2,854
"19","BGD",42,0.169047619,27,1.55555555555556,50
"20","BGR",234,1.834615385,166,1.40963855421687,100
"21","BHR",65,-0.255384615,31,2.09677419354839,48
"22","BHS",19,1.636842105,19,1,44
"23","BLR",186,1.214516129,171,1.08771929824561,112
"24","BLZ",6,3.433333333,5,1.2,84
"25","BMU",13,0.4,6,2.16666666666667,60
"26","BOL",4,1.75,5,0.8,68
"27","BRA",66,1.928787879,56,1.17857142857143,76
"28","BRB",8,-0.5125,6,1.33333333333333,52
"29","BRN",9,2.833333333,13,0.692307692307692,96
"30","BWA",4,3.2,1,4,72
"31","CAF",4,1.325,6,0.666666666666667,140
"32","CAN",256,0.67734375,160,1.6,124
"33","CAS",6,2.7,9,0.666666666666667,NA
"34","CHE",430,2.664651163,378,1.13756613756614,756
"35","CHL",10,-0.52,12,0.833333333333333,152
"36","CHN",915,1.445136612,716,1.27793296089385,156
"37","CIV",11,2.618181818,4,2.75,384
"38","CMR",2,2.8,2,1,120
"39","COD",47,2.031914894,42,1.11904761904762,180
"40","COG",26,2.857692308,25,1.04,178
"41","COL",31,1.448387097,25,1.24,170
"42","COM",1,4,0,0,174
"43","CRI",3,5.2,1,3,188
"44","CUB",34,1.861764706,39,0.871794871794872,192
"45","CYM",1,7,3,0.333333333333333,136
"46","CYP",120,0.804166667,123,0.975609756097561,196
"47","CZE",212,1,171,1.23976608187134,203
"48","DEU",534,1.74494382,416,1.28365384615385,276
"49","DJI",4,-1.525,5,0.8,262
"50","DMA",1,7.4,0,0,212
"51","DNK",119,1.266386555,105,1.13333333333333,208
"52","DOM",3,3.733333333,0,0,214
"53","DZA",38,1.015789474,44,0.863636363636364,12
"54","EAF",2,1.5,0,0,NA
"55","ECU",8,2.75,7,1.14285714285714,218
"56","EGY",322,1.617701863,263,1.22433460076046,818
"57","ERI",5,3.44,2,2.5,232
"58","ESP",125,0.104,78,1.6025641025641,724
"59","EST",70,2.565714286,54,1.2962962962963,233
"60","ETH",80,1.7525,72,1.11111111111111,231
"61","EUR",1941,2.133539413,1447,1.34139599170698,NA
"62","FIN",32,1.53125,28,1.14285714285714,246
"63","FJI",7,3.128571429,14,0.5,242
"64","FRA",569,1.03427065,432,1.31712962962963,250
"65","FSM",116,1.190517241,80,1.45,583
"66","GBR",548,1.389963504,437,1.25400457665904,826
"67","GEO",1792,1.669977679,1427,1.25578135949545,268
"68","GHA",6,2.05,15,0.4,288
"69","GIN",9,-0.244444444,4,2.25,324
"70","GNB",3,5.933333333,3,1,624
"71","GRC",539,0.295732839,362,1.48895027624309,300
"72","GRD",52,0.380769231,34,1.52941176470588,308
"73","GTM",19,4.673684211,23,0.826086956521739,320
"74","GUY",15,0.993333333,22,0.681818181818182,328
"75","HND",2,0.95,3,0.666666666666667,340
"76","HRV",61,2.642622951,52,1.17307692307692,191
"77","HTI",6,-0.016666667,4,1.5,332
"78","HUN",81,2.950617284,69,1.17391304347826,348
"79","IDN",47,3.153191489,55,0.854545454545454,360
"80","IND",144,-2.277083333,79,1.82278481012658,356
"81","IRL",136,-0.446323529,54,2.51851851851852,372
"82","IRN",1261,0.859397304,1066,1.18292682926829,364
"83","IRQ",338,-0.278698225,286,1.18181818181818,368
"84","ISR",855,-0.529590643,808,1.05816831683168,376
"85","ITA",346,1.615606936,282,1.22695035460993,380
"86","JAM",58,0.481034483,39,1.48717948717949,388
"87","JOR",176,1.441477273,119,1.47899159663866,400
"88","JPN",245,1.680816327,236,1.03813559322034,392
"89","KAZ",204,2.074019608,172,1.18604651162791,398
"90","KEN",201,0.177114428,151,1.33112582781457,404
"91","KGZ",100,1.513,87,1.14942528735632,417
"92","KHM",20,2.485,30,0.666666666666667,116
"93","KNA",10,4.58,3,3.33333333333333,659
"94","KOR",275,0.930545455,211,1.30331753554502,410
"95","KWT",29,1.479310345,21,1.38095238095238,414
"96","LAO",3,4.8,3,1,418
"97","LBN",239,-0.934309623,260,0.919230769230769,422
"98","LBY",122,-0.156557377,95,1.28421052631579,434
"99","LCA",16,0.73125,15,1.06666666666667,662
"100","LIE",2,5.5,1,2,438
"101","LKA",18,0.127777778,15,1.2,144
"102","LSO",1,8.3,0,0,426
"103","LTU",124,2.04516129,114,1.08771929824561,440
"104","LUX",2,5.25,3,0.666666666666667,442
"105","LVA",97,1.351546392,64,1.515625,428
"106","MAR",14,-3.528571429,4,3.5,504
"107","MCO",35,-0.78,43,0.813953488372093,492
"108","MDA",62,2.891935484,64,0.96875,498
"109","MDG",1,3,0,0,450
"110","MDV",89,-3.493258427,109,0.81651376146789,462
"111","MEA",33,3.090909091,29,1.13793103448276,NA
"112","MEX",69,1.026086957,59,1.16949152542373,484
"113","MHL",1,0,2,0.5,584
"114","MKD",57,1.584210526,35,1.62857142857143,807
"115","MLI",47,0.625531915,63,0.746031746031746,466
"116","MLT",6,-0.866666667,7,0.857142857142857,470
"117","MMR",35,3.388571429,40,0.875,104
"118","MNG",20,3.74,18,1.11111111111111,496
"119","MOZ",16,6.18125,18,0.888888888888889,508
"120","MRT",11,1.054545455,12,0.916666666666667,478
"121","MWI",3,6.1,2,1.5,454
"122","MYS",54,0.344444444,52,1.03846153846154,458
"123","NAM",2,3.2,2,1,516
"124","NER",9,-3.144444444,7,1.28571428571429,562
"125","NGA",115,-0.033913043,94,1.22340425531915,566
"126","NIC",21,0.776190476,12,1.75,558
"127","NLD",101,2.168316832,85,1.18823529411765,528
"128","NMR",51,2.860784314,35,1.45714285714286,NA
"129","NOR",102,-0.261764706,82,1.24390243902439,578
"130","NPL",12,-2.391666667,6,2,524
"131","NRU",4,4.7,0,0,520
"132","NZL",43,0.720930233,25,1.72,554
"133","OMN",1,3.4,9,0.111111111111111,512
"134","PAK",652,0.05904908,506,1.28853754940711,586
"135","PAN",21,1.857142857,10,2.1,591
"136","PER",18,2.516666667,13,1.38461538461538,604
"137","PGS",12,0.75,8,1.5,NA
"138","PHL",64,0.7296875,54,1.18518518518519,608
"139","POL",232,2.038362069,181,1.28176795580111,616
"140","PRK",210,1.093809524,205,1.02439024390244,408
"141","PRT",27,1.307407407,21,1.28571428571429,620
"142","PSE",350,0.099142857,380,0.921052631578947,275
"143","QAT",154,2.694805195,167,0.922155688622755,634
"144","RUS",6015,0.551604323,4580,1.31331877729258,643
"145","RWA",63,0.912698413,51,1.23529411764706,646
"146","SAF",3,-0.333333333,3,1,NA
"147","SAS",7,-0.414285714,2,3.5,NA
"148","SAU",112,1.266071429,124,0.903225806451613,682
"149","SDN",207,1.053140097,148,1.39864864864865,736
"150","SEA",8,2.5,5,1.6,NA
"151","SEN",6,-1.266666667,5,1.2,686
"152","SGP",15,2.073333333,12,1.25,702
"153","SLE",1,-9.5,2,0.5,694
"154","SLV",6,-5.6,1,6,222
"155","SOM",328,0.633536585,321,1.02180685358255,706
"156","SRB",105,2.022857143,100,1.05,688
"157","SUR",6,2.466666667,1,6,740
"158","SVK",26,2.115384615,25,1.04,703
"159","SWE",64,1.5671875,94,0.680851063829787,752
"160","SWZ",3,2.866666667,3,1,748
"161","SYC",20,2.59,24,0.833333333333333,690
"162","SYR",623,-1.217817014,618,1.00809061488673,760
"163","TCD",29,-0.006896552,30,0.966666666666667,148
"164","TGO",3,5.133333333,1,3,768
"165","THA",103,-0.123300971,86,1.19767441860465,764
"166","TJK",203,2.472413793,200,1.015,762
"167","TKM",127,2.923622047,109,1.1651376146789,795
"168","TON",1,2.8,0,0,776
"169","TTO",11,-2.118181818,8,1.375,780
"170","TUN",78,1.366666667,46,1.69565217391304,788
"171","TUR",1282,1.576365055,1104,1.16123188405797,792
"172","TUV",23,4.347826087,36,0.638888888888889,798
"173","TZA",26,2.430769231,19,1.36842105263158,834
"174","UGA",67,1.562686567,44,1.52272727272727,800
"175","UKR",657,1.610958904,529,1.24196597353497,804
"176","URY",1,1,1,1,858
"177","USA",25443,0.494953425,17405,1.46182131571388,840
"178","UZB",60,0.848333333,54,1.11111111111111,860
"179","VAT",22,2.140909091,18,1.22222222222222,336
"180","VCT",5,2.44,3,1.66666666666667,670
"181","VEN",60,0.43,59,1.01694915254237,862
"182","VNM",45,1.324444444,34,1.32352941176471,704
"183","VUT",21,1.695238095,13,1.61538461538462,548
"184","WSM",2,5.2,1,2,882
"185","WST",865,2.028901734,685,1.26277372262774,NA
"186","YEM",99,-1.136363636,64,1.546875,887
"187","ZAF",50,1.35,38,1.31578947368421,710
"188","ZMB",17,0.494117647,9,1.88888888888889,894
"189","ZWE",58,-0.420689655,57,1.01754385964912,716
"190","KIR",0,0,3,0,296
"191","LBR",0,0,5,0,430
"192","MUS",0,0,3,0,480
"193","SLB",0,0,2,0,90
"194","SMR",0,0,1,0,674
"195","WAF",0,0,1,0,NA
